kreis_id;kreis_name;kreis_bevoelkerung_gesamt;fallzahl;fallzahl_pro_100k
16054;Suhl, Stadt;36789;2167;5,89034765826742
16055;Weimar, Stadt;65228;2602;3,98908444226406
16056;Eisenach, Stadt;42250;1934;4,57751479289941
16061;Eichsfeld;100006;6205;6,20462772233666
16062;Nordhausen;83416;2924;3,50532271986190
16063;Wartburgkreis;118974;8241;6,92672348580362
16064;Unstrut-Hainich-Kreis;102232;6297;6,15951952421942
16065;Kyffhäuserkreis;74212;3632;4,89408720961570
16066;Schmalkalden-Meiningen;124916;9963;7,97575971052547
16067;Gotha;134908;8564;6,34802976843478
16068;Sömmerda;69427;4141;5,96453829201895
16069;Hildburghausen;63197;5317;8,41337405256579
16070;Ilm-Kreis;106249;6476;6,09511618932884
16071;Weimarer Land;82156;4107;4,99902624275768
16072;Sonneberg;57717;4189;7,25782698338445
16073;Saalfeld-Rudolstadt;103199;6746;6,53688504733573
16074;Saale-Holzland-Kreis;82950;4710;5,67811934900543
16075;Saale-Orla-Kreis;80312;6407;7,97763721486204
16076;Greiz;97398;7835;8,04431302490811
16077;Altenburger Land;89393;6833;7,64377523967201
