date;category;variable;value
2020-02-12;response;C4_Restrictions on gatherings;0
2020-02-12;response;C6_Stay at home requirements;0
2020-02-13;response;C1_School closing;0
2020-02-13;response;C4_Restrictions on gatherings;0
2020-02-13;response;C6_Stay at home requirements;0
2020-02-14;response;C1_School closing;0
2020-02-14;response;C4_Restrictions on gatherings;0
2020-02-14;response;C6_Stay at home requirements;0
2020-02-15;response;C1_School closing;0
2020-02-15;response;C4_Restrictions on gatherings;0
2020-02-15;response;C6_Stay at home requirements;0
2020-02-16;response;C1_School closing;0
2020-02-16;response;C4_Restrictions on gatherings;0
2020-02-16;response;C6_Stay at home requirements;0
2020-02-17;response;C1_School closing;0
2020-02-17;response;C4_Restrictions on gatherings;0
2020-02-17;response;C6_Stay at home requirements;0
2020-02-18;response;C1_School closing;0
2020-02-18;response;C4_Restrictions on gatherings;0
2020-02-18;response;C6_Stay at home requirements;0
2020-02-19;response;C1_School closing;0
2020-02-19;response;C4_Restrictions on gatherings;0
2020-02-19;response;C6_Stay at home requirements;0
2020-02-20;response;C1_School closing;0
2020-02-20;response;C4_Restrictions on gatherings;0
2020-02-20;response;C6_Stay at home requirements;0
2020-02-21;response;C1_School closing;0
2020-02-21;response;C4_Restrictions on gatherings;0
2020-02-21;response;C6_Stay at home requirements;0
2020-02-22;response;C1_School closing;0
2020-02-22;response;C4_Restrictions on gatherings;0
2020-02-22;response;C6_Stay at home requirements;0
2020-02-23;response;C1_School closing;0
2020-02-23;response;C4_Restrictions on gatherings;0
2020-02-23;response;C6_Stay at home requirements;0
2020-02-24;response;C1_School closing;0
2020-02-24;response;C4_Restrictions on gatherings;0
2020-02-24;response;C6_Stay at home requirements;0
2020-02-25;response;C1_School closing;0
2020-02-25;response;C4_Restrictions on gatherings;0
2020-02-25;response;C6_Stay at home requirements;0
2020-02-26;response;C1_School closing;2
2020-02-26;response;C4_Restrictions on gatherings;0
2020-02-26;response;C6_Stay at home requirements;0
2020-02-27;response;C1_School closing;2
2020-02-27;response;C4_Restrictions on gatherings;0
2020-02-27;response;C6_Stay at home requirements;0
2020-02-28;response;C1_School closing;2
2020-02-28;response;C4_Restrictions on gatherings;0
2020-02-28;response;C6_Stay at home requirements;0
2020-02-29;response;C1_School closing;2
2020-02-29;response;C4_Restrictions on gatherings;0
2020-02-29;response;C6_Stay at home requirements;0
2020-03-01;response;C1_School closing;2
2020-03-01;response;C4_Restrictions on gatherings;0
2020-03-01;response;C6_Stay at home requirements;0
2020-03-02;response;C1_School closing;2
2020-03-02;response;C4_Restrictions on gatherings;0
2020-03-02;response;C6_Stay at home requirements;0
2020-03-03;response;C1_School closing;2
2020-03-03;response;C4_Restrictions on gatherings;0
2020-03-03;response;C6_Stay at home requirements;0
2020-03-04;response;C1_School closing;2
2020-03-04;response;C4_Restrictions on gatherings;0
2020-03-04;response;C6_Stay at home requirements;0
2020-03-05;response;C1_School closing;2
2020-03-05;response;C4_Restrictions on gatherings;0
2020-03-05;response;C6_Stay at home requirements;0
2020-03-06;response;C1_School closing;2
2020-03-06;response;C4_Restrictions on gatherings;0
2020-03-06;response;C6_Stay at home requirements;0
2020-03-07;response;C1_School closing;2
2020-03-07;response;C4_Restrictions on gatherings;0
2020-03-07;response;C6_Stay at home requirements;0
2020-03-08;response;C1_School closing;2
2020-03-08;response;C4_Restrictions on gatherings;0
2020-03-08;response;C6_Stay at home requirements;0
2020-03-09;response;C1_School closing;2
2020-03-09;response;C4_Restrictions on gatherings;0
2020-03-09;response;C6_Stay at home requirements;1
2020-03-10;response;C1_School closing;2
2020-03-10;response;C4_Restrictions on gatherings;1
2020-03-10;response;C6_Stay at home requirements;1
2020-03-11;response;C1_School closing;2
2020-03-11;response;C4_Restrictions on gatherings;1
2020-03-11;response;C6_Stay at home requirements;1
2020-03-12;response;C1_School closing;2
2020-03-12;response;C4_Restrictions on gatherings;1
2020-03-12;response;C6_Stay at home requirements;1
2020-03-13;response;C1_School closing;2
2020-03-13;response;C4_Restrictions on gatherings;1
2020-03-13;response;C6_Stay at home requirements;1
2020-03-14;response;C1_School closing;2
2020-03-14;response;C4_Restrictions on gatherings;1
2020-03-14;response;C6_Stay at home requirements;1
2020-03-15;response;C1_School closing;2
2020-03-15;response;C4_Restrictions on gatherings;1
